Scale No,InitialBasic,HouseRent,Medical,Special,Allowances,GrossPay,IsAdhoc,Effect From,Department,Active Status
1347VF,43000,0,0,0,0,43000,True,28/07/2025,Academic,Active
1348VF,43500,0,0,0,0,43500,True,28/07/2025,Academic,Active
1349VF,44000,0,0,0,0,44000,True,28/07/2025,Academic,Active
1350VF,44500,0,0,0,0,44500,True,28/07/2025,Academic,Active
1351VF,45000,0,0,0,0,45000,True,28/07/2025,Academic,Active
1352VF,45500,0,0,0,0,45500,True,28/07/2025,Academic,Active
1353VF,46000,0,0,0,0,46000,True,28/07/2025,Academic,Active
1354VF,46500,0,0,0,0,46500,True,28/07/2025,Academic,Active
1355VF,47000,0,0,0,0,47000,True,28/07/2025,Academic,Active
1356VF,47500,0,0,0,0,47500,True,28/07/2025,Academic,Active
1357VF,48000,0,0,0,0,48000,True,28/07/2025,Academic,Active
1358VF,48500,0,0,0,0,48500,True,28/07/2025,Academic,Active
1359VF,49000,0,0,0,0,49000,True,28/07/2025,Academic,Active
1360VF,49500,0,0,0,0,49500,True,28/07/2025,Academic,Active
1361VF,50000,0,0,0,0,50000,True,28/07/2025,Academic,Active
1362VF,50500,0,0,0,0,50500,True,28/07/2025,Academic,Active
1363VF,51000,0,0,0,0,51000,True,28/07/2025,Academic,Active
1364VF,51500,0,0,0,0,51500,True,28/07/2025,Academic,Active
1365VF,52000,0,0,0,0,52000,True,28/07/2025,Academic,Active
1366VF,52500,0,0,0,0,52500,True,28/07/2025,Academic,Active
1367VF,53000,0,0,0,0,53000,True,28/07/2025,Academic,Active
1368VF,53500,0,0,0,0,53500,True,28/07/2025,Academic,Active
1369VF,54000,0,0,0,0,54000,True,28/07/2025,Academic,Active
1370VF,54500,0,0,0,0,54500,True,28/07/2025,Academic,Active
1371VF,55000,0,0,0,0,55000,True,28/07/2025,Academic,Active
1372VF,55500,0,0,0,0,55500,True,28/07/2025,Academic,Active
1373VF,56000,0,0,0,0,56000,True,28/07/2025,Academic,Active
1374VF,56500,0,0,0,0,56500,True,28/07/2025,Academic,Active
1375VF,57000,0,0,0,0,57000,True,28/07/2025,Academic,Active
1376VF,57500,0,0,0,0,57500,True,28/07/2025,Academic,Active
1377VF,58000,0,0,0,0,58000,True,28/07/2025,Academic,Active
1378VF,58500,0,0,0,0,58500,True,28/07/2025,Academic,Active
1379VF,59000,0,0,0,0,59000,True,28/07/2025,Academic,Active
1380VF,59500,0,0,0,0,59500,True,28/07/2025,Academic,Active
1381VF,60000,0,0,0,0,60000,True,28/07/2025,Academic,Active
1382VF,60500,0,0,0,0,60500,True,28/07/2025,Academic,Active
1383VF,61000,0,0,0,0,61000,True,28/07/2025,Academic,Active
1384VF,61500,0,0,0,0,61500,True,28/07/2025,Academic,Active
1385VF,62000,0,0,0,0,62000,True,28/07/2025,Academic,Active
1386VF,62500,0,0,0,0,62500,True,28/07/2025,Academic,Active
1387VF,63000,0,0,0,0,63000,True,28/07/2025,Academic,Active
1388VF,63500,0,0,0,0,63500,True,28/07/2025,Academic,Active
1389VF,64000,0,0,0,0,64000,True,28/07/2025,Academic,Active
1390VF,64500,0,0,0,0,64500,True,28/07/2025,Academic,Active
1391VF,65000,0,0,0,0,65000,True,28/07/2025,Academic,Active
1392VF,65500,0,0,0,0,65500,True,28/07/2025,Academic,Active
1393VF,66000,0,0,0,0,66000,True,28/07/2025,Academic,Active
1394VF,66500,0,0,0,0,66500,True,28/07/2025,Academic,Active
1395VF,67000,0,0,0,0,67000,True,28/07/2025,Academic,Active
1396VF,67500,0,0,0,0,67500,True,28/07/2025,Academic,Active
1397VF,68000,0,0,0,0,68000,True,28/07/2025,Academic,Active
1398VF,68500,0,0,0,0,68500,True,28/07/2025,Academic,Active
1399VF,69000,0,0,0,0,69000,True,28/07/2025,Academic,Active
1400VF,69500,0,0,0,0,69500,True,28/07/2025,Academic,Active
1401VF,70000,0,0,0,0,70000,True,28/07/2025,Academic,Active
1402VF,70500,0,0,0,0,70500,True,28/07/2025,Academic,Active
1403VF,71000,0,0,0,0,71000,True,28/07/2025,Academic,Active
1404VF,71500,0,0,0,0,71500,True,28/07/2025,Academic,Active
1405VF,72000,0,0,0,0,72000,True,28/07/2025,Academic,Active
1406VF,72500,0,0,0,0,72500,True,28/07/2025,Academic,Active
1407VF,73000,0,0,0,0,73000,True,28/07/2025,Academic,Active
1408VF,73500,0,0,0,0,73500,True,28/07/2025,Academic,Active
1409VF,74000,0,0,0,0,74000,True,28/07/2025,Academic,Active
1410VF,74500,0,0,0,0,74500,True,28/07/2025,Academic,Active
1411VF,75000,0,0,0,0,75000,True,28/07/2025,Academic,Active
1412VF,75500,0,0,0,0,75500,True,28/07/2025,Academic,Active
1413VF,76000,0,0,0,0,76000,True,28/07/2025,Academic,Active
1414VF,76500,0,0,0,0,76500,True,28/07/2025,Academic,Active
1415VF,77000,0,0,0,0,77000,True,28/07/2025,Academic,Active
1416VF,77500,0,0,0,0,77500,True,28/07/2025,Academic,Active
1417VF,78000,0,0,0,0,78000,True,28/07/2025,Academic,Active
1418VF,78500,0,0,0,0,78500,True,28/07/2025,Academic,Active
1419VF,79000,0,0,0,0,79000,True,28/07/2025,Academic,Active
1420VF,79500,0,0,0,0,79500,True,28/07/2025,Academic,Active
1421VF,80000,0,0,0,0,80000,True,28/07/2025,Academic,Active
1422VF,80500,0,0,0,0,80500,True,28/07/2025,Academic,Active
1423VF,81000,0,0,0,0,81000,True,28/07/2025,Academic,Active
1424VF,81500,0,0,0,0,81500,True,28/07/2025,Academic,Active
1425VF,82000,0,0,0,0,82000,True,28/07/2025,Academic,Active
1426VF,82500,0,0,0,0,82500,True,28/07/2025,Academic,Active
1427VF,83000,0,0,0,0,83000,True,28/07/2025,Academic,Active
1428VF,83500,0,0,0,0,83500,True,28/07/2025,Academic,Active
1429VF,84000,0,0,0,0,84000,True,28/07/2025,Academic,Active
1430VF,84500,0,0,0,0,84500,True,28/07/2025,Academic,Active
1431VF,85000,0,0,0,0,85000,True,28/07/2025,Academic,Active
1432VF,85500,0,0,0,0,85500,True,28/07/2025,Academic,Active
1433VF,86000,0,0,0,0,86000,True,28/07/2025,Academic,Active
1434VF,86500,0,0,0,0,86500,True,28/07/2025,Academic,Active
1435VF,87000,0,0,0,0,87000,True,28/07/2025,Academic,Active
1436VF,87500,0,0,0,0,87500,True,28/07/2025,Academic,Active
1437VF,88000,0,0,0,0,88000,True,28/07/2025,Academic,Active
1438VF,88500,0,0,0,0,88500,True,28/07/2025,Academic,Active
1439VF,89000,0,0,0,0,89000,True,28/07/2025,Academic,Active
1440VF,89500,0,0,0,0,89500,True,28/07/2025,Academic,Active
1441VF,90000,0,0,0,0,90000,True,28/07/2025,Academic,Active
1442VF,90500,0,0,0,0,90500,True,28/07/2025,Academic,Active
1443VF,91000,0,0,0,0,91000,True,28/07/2025,Academic,Active
1444VF,91500,0,0,0,0,91500,True,28/07/2025,Academic,Active
1445VF,92000,0,0,0,0,92000,True,28/07/2025,Academic,Active
1446VF,92500,0,0,0,0,92500,True,28/07/2025,Academic,Active
1447VF,93000,0,0,0,0,93000,True,28/07/2025,Academic,Active
1448VF,93500,0,0,0,0,93500,True,28/07/2025,Academic,Active
1449VF,94000,0,0,0,0,94000,True,28/07/2025,Academic,Active
1450VF,94500,0,0,0,0,94500,True,28/07/2025,Academic,Active
1451VF,95000,0,0,0,0,95000,True,28/07/2025,Academic,Active
1452VF,95500,0,0,0,0,95500,True,28/07/2025,Academic,Active
1453VF,96000,0,0,0,0,96000,True,28/07/2025,Academic,Active
1454VF,96500,0,0,0,0,96500,True,28/07/2025,Academic,Active
1455VF,97000,0,0,0,0,97000,True,28/07/2025,Academic,Active
1456VF,97500,0,0,0,0,97500,True,28/07/2025,Academic,Active
1457VF,98000,0,0,0,0,98000,True,28/07/2025,Academic,Active
1458VF,98500,0,0,0,0,98500,True,28/07/2025,Academic,Active
1459VF,99000,0,0,0,0,99000,True,28/07/2025,Academic,Active
1460VF,99500,0,0,0,0,99500,True,28/07/2025,Academic,Active
1461VF,100000,0,0,0,0,100000,True,28/07/2025,Academic,Active
1462VF,100500,0,0,0,0,100500,True,28/07/2025,Academic,Active
1463VF,101000,0,0,0,0,101000,True,28/07/2025,Academic,Active
1464VF,101500,0,0,0,0,101500,True,28/07/2025,Academic,Active
1465VF,102000,0,0,0,0,102000,True,28/07/2025,Academic,Active
1466VF,102500,0,0,0,0,102500,True,28/07/2025,Academic,Active
1467VF,103000,0,0,0,0,103000,True,28/07/2025,Academic,Active
1468VF,103500,0,0,0,0,103500,True,29/07/2025,Accounts,Active
1469VF,104000,0,0,0,0,104000,True,28/07/2025,Academic,Active
1470VF,104500,0,0,0,0,104500,True,28/07/2025,Academic,Active
1471VF,105000,0,0,0,0,105000,True,28/07/2025,Academic,Active
1472VF,105500,0,0,0,0,105500,True,28/07/2025,Academic,Active
1473VF,106000,0,0,0,0,106000,True,28/07/2025,Academic,Active
1474VF,106500,0,0,0,0,106500,True,28/07/2025,Academic,Active
1475VF,107000,0,0,0,0,107000,True,28/07/2025,Academic,Active
1476VF,107500,0,0,0,0,107500,True,28/07/2025,Academic,Active
1477VF,108000,0,0,0,0,108000,True,28/07/2025,Academic,Active
1478VF,108500,0,0,0,0,108500,True,28/07/2025,Academic,Active
1479VF,109000,0,0,0,0,109000,True,28/07/2025,Academic,Active
1480VF,109500,0,0,0,0,109500,True,28/07/2025,Academic,Active
1481VF,110000,0,0,0,0,110000,True,28/07/2025,Academic,Active
1482VF,110500,0,0,0,0,110500,True,28/07/2025,Academic,Active
1483VF,111000,0,0,0,0,111000,True,28/07/2025,Academic,Active
1484VF,111500,0,0,0,0,111500,True,28/07/2025,Academic,Active
1485VF,112000,0,0,0,0,112000,True,28/07/2025,Academic,Active
1486VF,112500,0,0,0,0,112500,True,28/07/2025,Academic,Active
1487VF,113000,0,0,0,0,113000,True,28/07/2025,Academic,Active
1488VF,113500,0,0,0,0,113500,True,28/07/2025,Academic,Active
1489VF,114000,0,0,0,0,114000,True,28/07/2025,Academic,Active
1490VF,114500,0,0,0,0,114500,True,28/07/2025,Academic,Active
1491VF,115000,0,0,0,0,115000,True,28/07/2025,Academic,Active
1492VF,115500,0,0,0,0,115500,True,28/07/2025,Academic,Active
1493VF,116000,0,0,0,0,116000,True,28/07/2025,Academic,Active
1494VF,116500,0,0,0,0,116500,True,28/07/2025,Academic,Active
1495VF,117000,0,0,0,0,117000,True,28/07/2025,Academic,Active
1496VF,117500,0,0,0,0,117500,True,28/07/2025,Academic,Active
1497VF,118000,0,0,0,0,118000,True,28/07/2025,Academic,Active
1498VF,118500,0,0,0,0,118500,True,28/07/2025,Academic,Active
1499VF,119000,0,0,0,0,119000,True,28/07/2025,Academic,Active
1500VF,119500,0,0,0,0,119500,True,28/07/2025,Academic,Active
1501VF,120000,0,0,0,0,120000,True,28/07/2025,Academic,Active
1502VF,120500,0,0,0,0,120500,True,28/07/2025,Academic,Active
1503VF,121000,0,0,0,0,121000,True,28/07/2025,Academic,Active
1504VF,121500,0,0,0,0,121500,True,28/07/2025,Academic,Active
1505VF,122000,0,0,0,0,122000,True,28/07/2025,Academic,Active
1506VF,122500,0,0,0,0,122500,True,28/07/2025,Academic,Active
1507VF,123000,0,0,0,0,123000,True,28/07/2025,Academic,Active
1508VF,123500,0,0,0,0,123500,True,28/07/2025,Academic,Active
1509VF,124000,0,0,0,0,124000,True,28/07/2025,Academic,Active
1510VF,124500,0,0,0,0,124500,True,28/07/2025,Academic,Active
1511VF,125000,0,0,0,0,125000,True,28/07/2025,Academic,Active
1512VF,125500,0,0,0,0,125500,True,28/07/2025,Academic,Active
1513VF,126000,0,0,0,0,126000,True,28/07/2025,Academic,Active
1514VF,126500,0,0,0,0,126500,True,28/07/2025,Academic,Active
1515VF,127000,0,0,0,0,127000,True,28/07/2025,Academic,Active
1516VF,127500,0,0,0,0,127500,True,28/07/2025,Academic,Active
1517VF,128000,0,0,0,0,128000,True,28/07/2025,Academic,Active
1518VF,128500,0,0,0,0,128500,True,28/07/2025,Academic,Active
1519VF,129000,0,0,0,0,129000,True,28/07/2025,Academic,Active
1520VF,129500,0,0,0,0,129500,True,28/07/2025,Academic,Active
1521VF,130000,0,0,0,0,130000,True,28/07/2025,Academic,Active
1522VF,130500,0,0,0,0,130500,True,28/07/2025,Academic,Active
1523VF,131000,0,0,0,0,131000,True,28/07/2025,Academic,Active
1524VF,131500,0,0,0,0,131500,True,28/07/2025,Academic,Active
1525VF,132000,0,0,0,0,132000,True,28/07/2025,Academic,Active
1526VF,132500,0,0,0,0,132500,True,28/07/2025,Academic,Active
1527VF,133000,0,0,0,0,133000,True,28/07/2025,Academic,Active
1528VF,133500,0,0,0,0,133500,True,28/07/2025,Academic,Active
1529VF,134000,0,0,0,0,134000,True,28/07/2025,Academic,Active
1530VF,134500,0,0,0,0,134500,True,28/07/2025,Academic,Active
1531VF,135000,0,0,0,0,135000,True,28/07/2025,Academic,Active
1532VF,135500,0,0,0,0,135500,True,28/07/2025,Academic,Active
1533VF,136000,0,0,0,0,136000,True,28/07/2025,Academic,Active
1534VF,136500,0,0,0,0,136500,True,28/07/2025,Academic,Active
1535VF,137000,0,0,0,0,137000,True,28/07/2025,Academic,Active
1536VF,137500,0,0,0,0,137500,True,28/07/2025,Academic,Active
1537VF,138000,0,0,0,0,138000,True,28/07/2025,Academic,Active
1538VF,138500,0,0,0,0,138500,True,28/07/2025,Academic,Active
1539VF,139000,0,0,0,0,139000,True,28/07/2025,Academic,Active
1540VF,139500,0,0,0,0,139500,True,28/07/2025,Academic,Active
1541VF,140000,0,0,0,0,140000,True,28/07/2025,Academic,Active
1542VF,140500,0,0,0,0,140500,True,28/07/2025,Academic,Active
1543VF,141000,0,0,0,0,141000,True,28/07/2025,Academic,Active
1544VF,141500,0,0,0,0,141500,True,28/07/2025,Academic,Active
1545VF,142000,0,0,0,0,142000,True,28/07/2025,Academic,Active
1546VF,142500,0,0,0,0,142500,True,28/07/2025,Academic,Active
1547VF,143000,0,0,0,0,143000,True,28/07/2025,Academic,Active
1548VF,143500,0,0,0,0,143500,True,28/07/2025,Academic,Active
1549VF,144000,0,0,0,0,144000,True,28/07/2025,Academic,Active
1550VF,144500,0,0,0,0,144500,True,28/07/2025,Academic,Active
1551VF,145000,0,0,0,0,145000,True,28/07/2025,Academic,Active
1552VF,145500,0,0,0,0,145500,True,28/07/2025,Academic,Active
1553VF,146000,0,0,0,0,146000,True,28/07/2025,Academic,Active
1554VF,146500,0,0,0,0,146500,True,28/07/2025,Academic,Active
1555VF,147000,0,0,0,0,147000,True,28/07/2025,Academic,Active
1556VF,147500,0,0,0,0,147500,True,28/07/2025,Academic,Active
1557VF,148000,0,0,0,0,148000,True,28/07/2025,Academic,Active
1558VF,148500,0,0,0,0,148500,True,28/07/2025,Academic,Active
1559VF,149000,0,0,0,0,149000,True,28/07/2025,Academic,Active
1560VF,149500,0,0,0,0,149500,True,28/07/2025,Academic,Active
1561VF,150000,0,0,0,0,150000,True,28/07/2025,Academic,Active
1562VF,150500,0,0,0,0,150500,True,28/07/2025,Academic,Active
1563VF,151000,0,0,0,0,151000,True,28/07/2025,Academic,Active
1564VF,151500,0,0,0,0,151500,True,28/07/2025,Academic,Active
1565VF,152000,0,0,0,0,152000,True,28/07/2025,Academic,Active
1566VF,152500,0,0,0,0,152500,True,28/07/2025,Academic,Active
1567VF,153000,0,0,0,0,153000,True,28/07/2025,Academic,Active
1568VF,153500,0,0,0,0,153500,True,28/07/2025,Academic,Active
1569VF,154000,0,0,0,0,154000,True,28/07/2025,Academic,Active
1570VF,154500,0,0,0,0,154500,True,28/07/2025,Academic,Active
1571VF,155000,0,0,0,0,155000,True,28/07/2025,Academic,Active
1572VF,155500,0,0,0,0,155500,True,28/07/2025,Academic,Active
1573VF,156000,0,0,0,0,156000,True,28/07/2025,Academic,Active
1574VF,156500,0,0,0,0,156500,True,28/07/2025,Academic,Active
1575VF,157000,0,0,0,0,157000,True,28/07/2025,Academic,Active
1576VF,157500,0,0,0,0,157500,True,28/07/2025,Academic,Active
1577VF,158000,0,0,0,0,158000,True,28/07/2025,Academic,Active
1578VF,158500,0,0,0,0,158500,True,28/07/2025,Academic,Active
1579VF,159000,0,0,0,0,159000,True,28/07/2025,Academic,Active
1580VF,159500,0,0,0,0,159500,True,28/07/2025,Academic,Active
1581VF,160000,0,0,0,0,160000,True,28/07/2025,Academic,Active
1582VF,160500,0,0,0,0,160500,True,28/07/2025,Academic,Active
1583VF,161000,0,0,0,0,161000,True,28/07/2025,Academic,Active
1584VF,161500,0,0,0,0,161500,True,28/07/2025,Academic,Active
1585VF,162000,0,0,0,0,162000,True,28/07/2025,Academic,Active
1586VF,162500,0,0,0,0,162500,True,28/07/2025,Academic,Active
1587VF,163000,0,0,0,0,163000,True,28/07/2025,Academic,Active
1588VF,163500,0,0,0,0,163500,True,28/07/2025,Academic,Active
1589VF,164000,0,0,0,0,164000,True,28/07/2025,Academic,Active
1590VF,164500,0,0,0,0,164500,True,28/07/2025,Academic,Active
1591VF,165000,0,0,0,0,165000,True,28/07/2025,Academic,Active
1592VF,165500,0,0,0,0,165500,True,28/07/2025,Academic,Active
1593VF,166000,0,0,0,0,166000,True,28/07/2025,Academic,Active
1594VF,166500,0,0,0,0,166500,True,28/07/2025,Academic,Active
1595VF,167000,0,0,0,0,167000,True,28/07/2025,Academic,Active
1596VF,167500,0,0,0,0,167500,True,28/07/2025,Academic,Active
1597VF,168000,0,0,0,0,168000,True,28/07/2025,Academic,Active
1598VF,168500,0,0,0,0,168500,True,28/07/2025,Academic,Active
1599VF,169000,0,0,0,0,169000,True,28/07/2025,Academic,Active
1600VF,169500,0,0,0,0,169500,True,28/07/2025,Academic,Active
1601VF,170000,0,0,0,0,170000,True,28/07/2025,Academic,Active
1602VF,170500,0,0,0,0,170500,True,28/07/2025,Academic,Active
1603VF,171000,0,0,0,0,171000,True,28/07/2025,Academic,Active
1604VF,171500,0,0,0,0,171500,True,28/07/2025,Academic,Active
1605VF,172000,0,0,0,0,172000,True,28/07/2025,Academic,Active
1606VF,172500,0,0,0,0,172500,True,28/07/2025,Academic,Active
1607VF,173000,0,0,0,0,173000,True,28/07/2025,Academic,Active
1608VF,173500,0,0,0,0,173500,True,28/07/2025,Academic,Active
1609VF,174000,0,0,0,0,174000,True,28/07/2025,Academic,Active
1610VF,174500,0,0,0,0,174500,True,28/07/2025,Academic,Active
1611VF,175000,0,0,0,0,175000,True,28/07/2025,Academic,Active
1612VF,175500,0,0,0,0,175500,True,28/07/2025,Academic,Active
1613VF,176000,0,0,0,0,176000,True,28/07/2025,Academic,Active
1614VF,176500,0,0,0,0,176500,True,28/07/2025,Academic,Active
1615VF,177000,0,0,0,0,177000,True,28/07/2025,Academic,Active
1616VF,177500,0,0,0,0,177500,True,28/07/2025,Academic,Active
1617VF,178000,0,0,0,0,178000,True,28/07/2025,Academic,Active
1618VF,178500,0,0,0,0,178500,True,28/07/2025,Academic,Active
1619VF,179000,0,0,0,0,179000,True,28/07/2025,Academic,Active
1620VF,179500,0,0,0,0,179500,True,28/07/2025,Academic,Active
1621VF,180000,0,0,0,0,180000,True,28/07/2025,Academic,Active
1622VF,180500,0,0,0,0,180500,True,28/07/2025,Academic,Active
1623VF,181000,0,0,0,0,181000,True,28/07/2025,Academic,Active
1624VF,181500,0,0,0,0,181500,True,28/07/2025,Academic,Active
1625VF,182000,0,0,0,0,182000,True,28/07/2025,Academic,Active
1626VF,182500,0,0,0,0,182500,True,28/07/2025,Academic,Active
1627VF,183000,0,0,0,0,183000,True,28/07/2025,Academic,Active
1628VF,183500,0,0,0,0,183500,True,28/07/2025,Academic,Active
1629VF,184000,0,0,0,0,184000,True,28/07/2025,Academic,Active
1630VF,184500,0,0,0,0,184500,True,28/07/2025,Academic,Active
1631VF,185000,0,0,0,0,185000,True,28/07/2025,Academic,Active
1632VF,185500,0,0,0,0,185500,True,28/07/2025,Academic,Active
1633VF,186000,0,0,0,0,186000,True,28/07/2025,Academic,Active
1634VF,186500,0,0,0,0,186500,True,28/07/2025,Academic,Active
1635VF,187000,0,0,0,0,187000,True,28/07/2025,Academic,Active
1636VF,187500,0,0,0,0,187500,True,28/07/2025,Academic,Active
1637VF,188000,0,0,0,0,188000,True,28/07/2025,Academic,Active
1638VF,188500,0,0,0,0,188500,True,28/07/2025,Academic,Active
1639VF,189000,0,0,0,0,189000,True,28/07/2025,Academic,Active
1640VF,189500,0,0,0,0,189500,True,28/07/2025,Academic,Active
1641VF,190000,0,0,0,0,190000,True,28/07/2025,Academic,Active
1642VF,190500,0,0,0,0,190500,True,28/07/2025,Academic,Active
1643VF,191000,0,0,0,0,191000,True,28/07/2025,Academic,Active
1644VF,191500,0,0,0,0,191500,True,28/07/2025,Academic,Active
1645VF,192000,0,0,0,0,192000,True,28/07/2025,Academic,Active
1646VF,192500,0,0,0,0,192500,True,28/07/2025,Academic,Active
1647VF,193000,0,0,0,0,193000,True,28/07/2025,Academic,Active
1648VF,193500,0,0,0,0,193500,True,28/07/2025,Academic,Active
1649VF,194000,0,0,0,0,194000,True,28/07/2025,Academic,Active
1650VF,194500,0,0,0,0,194500,True,28/07/2025,Academic,Active
1651VF,195000,0,0,0,0,195000,True,28/07/2025,Academic,Active
1652VF,195500,0,0,0,0,195500,True,28/07/2025,Academic,Active
1653VF,196000,0,0,0,0,196000,True,28/07/2025,Academic,Active
1654VF,196500,0,0,0,0,196500,True,28/07/2025,Academic,Active
1655VF,197000,0,0,0,0,197000,True,28/07/2025,Academic,Active
1656VF,197500,0,0,0,0,197500,True,28/07/2025,Academic,Active
1657VF,198000,0,0,0,0,198000,True,28/07/2025,Academic,Active
1658VF,198500,0,0,0,0,198500,True,28/07/2025,Academic,Active
1659VF,199000,0,0,0,0,199000,True,28/07/2025,Academic,Active
1660VF,199500,0,0,0,0,199500,True,28/07/2025,Academic,Active
1661VF,200000,0,0,0,0,200000,True,28/07/2025,Academic,Active
1001GD,5000,0,0,0,0,5000,True,09/09/2025,Domestic,Active
473ADMH,72000,0,0,0,0,72000,True,01/09/2023,Administration,Active
